days,content
240,Good phone in this price range
240,Nice product 🥰🥰🥰
180,"Mobile looks extremely good and premium. Camera quality is exceptional. Charges quickly.
Drawback - battery drains quickly, despite no overuse. I basically use the phone just fr calls, what's app n so..."
270,Good camera overall good phone
240,Nice phone
330,Everything is good but Motorola should also launch mobiles in same range without curve display
330,"Phone is good but there is less one gallery app in the phone, its provide only google photo while no default photo/video gallery, 
Also phone have no cover for safety purpose"
330,Very good image quality 😁😍😍
330,"One of the best phones in this price range
Pros-
Design- It has got a very sleek design with great looks and is light weight
Display- Curved screen is very good with vibrant colours and crystal clear ..."
300,"Sony lytia 700 Camera is superb 🔥 
Processor is also good 🎮 
UI have lot of customisation 📱 ✨ 
Battery 🔋 backup very good 💯 
4k playback and recording is brilliant ⚡
Best phone in segment
 
Probl..."
300,Super fully satisfied
330,This phone is just awesome.
330,Superb performance camera 🤳 and battery
330,"The display and the camera of this phone in this price range is mind-boggling,once you bought this you will never regret as per my opinion.."
270,"Great product by Motorola with all-round specifications...
Really loved it 👍
Display - 10/10
Performance - 9/10
Battery - 9/10
Camera - 9.5/10
Sound - 10/10
Ui experience - 10/10
Great purchase till ..."
330,"The look and feel is just awesome, you will love the display, the camera is also very good considering the price range.
Best phone to consider right now, if your priority is Display, Camera and Durability."
300,"Pros:-
Camera is good but not that much great it's ok-ish details feels like little bit clumsy.
Good Display
Sound quality is good than poco or any other mobiles in this price range.
Battery it's fine..."
300,Overall good phone
330,Good
300,"Value of money mobile, good camera, very good battery"
330,"Price worth..C2C charger cable
Light wait..good display. Dolby.."
300,Worth every penny camera battery the curved display everything is just mind blowing go for this mobile without any second thought and i am sure you wont regret it
270,Very good
270,Very good mobile
300,Looks Beautiful
330,"Phone is getting hot after continuous using.
Performance could be better.
But overall good phone at this price"
300,"Display 5/5
Camera 5/5
Performance 5/4
Battery 🔋 5/5
Sound quality good 5/5
Overall performance was excellent 👍💯💯💯
I'll give you the review ofter 10 days I'm using mobile"
330,"This phone is very very camera sentry phone,,
Battery performance and good looking phone ,,
Edge 60 fusion"
300,Camera is awesome and realistic
300,"Camara Quality is awesome, battery back-up awesome 👍"
240,"Camera-5/5
Battery -5/5
Display-5/5
Design -5/5
Performance -4/5

Some time phone lag or may be application issue I hope it will improve by next update."
330,Everything is good but atleast back cover should be provided
150,"Selfie camera is average ,rest is fine"
330,Great Phone by Moto.
330,Great display ✨
330,"This phone is quite good at this price...also camera and display, design is too good!"
330,One of the best camera phone in that price range
300,"After using more than a month i am writing this review.

A stylish phone no doubt but lags in many things.

1. As it is a curve display when you are in full screen mode and watching a video and you wa..."
330,Design and display is good lightweight and sleek design. Looking very beautiful design.
330,"It's Good option for buying under budget and modern Design....
But with out free back case in tha box.
Only adaptor, charging cable and sim pin only available this Device......
Most important never bu..."
180,Best camera quality 🥰😊
330,"This is a very good mobile, its performance is very good, the camera adds very nice colors and gives very good results."
270,Best product value for money🤗❤️
330,I think there is backlash in front camera quality then fusion 50. Fusion 50 front camera photo quality is far better than 60 fusion. Maybe motorolla will fix this problem with an update.
330,"Excellent design and build

Clean Android experience

Fast charging

Good cameras for the price"
300,I really impressed with this camera 🤳 i love it moto brand i suggest to people buy it 😀 I also camera vivo v30 pro camera but it beat that camera 📸
330,Not bad...
300,Overall good product. Top notch in this price 😍
150,I have purchased this smartphone in big billion days sale 24 sept and after 13 days I have faced charging issues. Smartphone is not charging.
330,Overall good camera..
330,"Phenomenal purchase ,
Camera quality is best
Battery is humungous
Water resistant ip68, ip69
Fast charger

The main part is the display that is quad curve Oled display 
Must purchase it"
330,Ultimate all in one phone. Since I am a user of edge 50 fusion I am satisfied but missing two features i.e no app lock and Internet speed not showing on top. But now they provide the same on 60 fusion...
300,"Having some software problem 
On a few occasions it switches off automatically. Sometimes video never fits full screen 
Sometimes the back button never work on the home screen we need to change the sl..."
300,"Writing after one and half month of usage.....Phone is good lookwise, premium look and feel..but who wants only looks, phone is not for that...with every small task, even during call, this gets heated..."
