days,content,cleaned_review
240,Good phone in this price range,good phone in this price range
240,Nice product 🥰🥰🥰,nice product
180,"Mobile looks extremely good and premium. Camera quality is exceptional. Charges quickly.
Drawback - battery drains quickly, despite no overuse. I basically use the phone just fr calls, what's app n so...",mobile looks extremely good and premium camera quality is exceptional charges quickly battery drains quickly despite no overuse i basically use the phone just fr calls what s app n so
270,Good camera overall good phone,good camera overall good phone
240,Nice phone,nice phone
330,Everything is good but Motorola should also launch mobiles in same range without curve display,everything is good but motorola should also launch mobiles in same range without curve display
330,"Phone is good but there is less one gallery app in the phone, its provide only google photo while no default photo/video gallery, 
Also phone have no cover for safety purpose",phone is good but there is less one gallery app in the phone its provide only google photo while no default photo video gallery also phone have no cover for safety purpose
330,Very good image quality 😁😍😍,very good image quality
330,"One of the best phones in this price range
Pros-
Design- It has got a very sleek design with great looks and is light weight
Display- Curved screen is very good with vibrant colours and crystal clear ...",one of the best phones in this price range design it has got a very sleek design with great looks and is light weight display curved screen is very good with vibrant colours and crystal clear
300,"Sony lytia 700 Camera is superb 🔥 
Processor is also good 🎮 
UI have lot of customisation 📱 ✨ 
Battery 🔋 backup very good 💯 
4k playback and recording is brilliant ⚡
Best phone in segment
 
Probl...",sony lytia 700 camera is superb processor is also good ui have lot of customisation battery backup very good 4k playback and recording is brilliant best phone in segment probl
300,Super fully satisfied,super fully satisfied
330,This phone is just awesome.,this phone is just awesome
330,Superb performance camera 🤳 and battery,superb performance camera and battery
330,"The display and the camera of this phone in this price range is mind-boggling,once you bought this you will never regret as per my opinion..",the display and the camera of this phone in this price range is mind boggling once you bought this you will never regret as per my opinion
270,"Great product by Motorola with all-round specifications...
Really loved it 👍
Display - 10/10
Performance - 9/10
Battery - 9/10
Camera - 9.5/10
Sound - 10/10
Ui experience - 10/10
Great purchase till ...",great product by motorola with all round specifications really loved it display 10 10 performance 9 10 battery 9 10 camera 9 5 10 sound 10 10 ui experience 10 10 great purchase till
330,"The look and feel is just awesome, you will love the display, the camera is also very good considering the price range.
Best phone to consider right now, if your priority is Display, Camera and Durability.",the look and feel is just awesome you will love the display the camera is also very good considering the price range best phone to consider right now if your priority is display camera and durability
300,"Pros:-
Camera is good but not that much great it's ok-ish details feels like little bit clumsy.
Good Display
Sound quality is good than poco or any other mobiles in this price range.
Battery it's fine...",camera is good but not that much great it s ok ish details feels like little bit clumsy good display sound quality is good than poco or any other mobiles in this price range battery it s fine
300,Overall good phone,overall good phone
330,Good,good
300,"Value of money mobile, good camera, very good battery",value of money mobile good camera very good battery
330,"Price worth..C2C charger cable
Light wait..good display. Dolby..",price worth c2c charger cable light wait good display dolby
300,Worth every penny camera battery the curved display everything is just mind blowing go for this mobile without any second thought and i am sure you wont regret it,worth every penny camera battery the curved display everything is just mind blowing go for this mobile without any second thought and i am sure you wont regret it
270,Very good,very good
270,Very good mobile,very good mobile
300,Looks Beautiful,looks beautiful
330,"Phone is getting hot after continuous using.
Performance could be better.
But overall good phone at this price",phone is getting hot after continuous using performance could be better but overall good phone at this price
300,"Display 5/5
Camera 5/5
Performance 5/4
Battery 🔋 5/5
Sound quality good 5/5
Overall performance was excellent 👍💯💯💯
I'll give you the review ofter 10 days I'm using mobile",display 5 5 camera 5 5 performance 5 4 battery 5 5 sound quality good 5 5 overall performance was excellent i ll give you the review ofter 10 days i m using mobile
330,"This phone is very very camera sentry phone,,
Battery performance and good looking phone ,,
Edge 60 fusion",this phone is very very camera sentry phone battery performance and good looking phone edge 60 fusion
300,Camera is awesome and realistic,camera is awesome and realistic
300,"Camara Quality is awesome, battery back-up awesome 👍",camara quality is awesome battery back up awesome
240,"Camera-5/5
Battery -5/5
Display-5/5
Design -5/5
Performance -4/5

Some time phone lag or may be application issue I hope it will improve by next update.",camera 5 5 battery 5 5 display 5 5 design 5 5 performance 4 5 some time phone lag or may be application issue i hope it will improve by next update
330,Everything is good but atleast back cover should be provided,everything is good but atleast back cover should be provided
150,"Selfie camera is average ,rest is fine",selfie camera is average rest is fine
330,Great Phone by Moto.,great phone by moto
330,Great display ✨,great display
330,"This phone is quite good at this price...also camera and display, design is too good!",this phone is quite good at this price also camera and display design is too good
330,One of the best camera phone in that price range,one of the best camera phone in that price range
