days,content,sentiment,summary
240,Good phone in this price range,Pos,Good phone in this price range.
240,Nice product 🥰🥰🥰,Pos,Nice product.
180,"Mobile looks extremely good and premium. Camera quality is exceptional. Charges quickly.
Drawback - battery drains quickly, despite no overuse. I basically use the phone just fr calls, what's app n so...",Neg,"Good looking phone with exceptional camera, but battery drains quickly."
270,Good camera overall good phone,Pos,Good camera and overall good phone.
240,Nice phone,Pos,Nice phone.
330,Everything is good but Motorola should also launch mobiles in same range without curve display,Neu,"Good phone, but Motorola should launch non-curved display models."
330,"Phone is good but there is less one gallery app in the phone, its provide only google photo while no default photo/video gallery, 
Also phone have no cover for safety purpose",Neg,"Good phone, but lacks a default gallery app and a protective cover."
330,Very good image quality 😁😍😍,Pos,Very good image quality.
330,"One of the best phones in this price range
Pros-
Design- It has got a very sleek design with great looks and is light weight
Display- Curved screen is very good with vibrant colours and crystal clear ...",Pos,One of the best phones in this price range with sleek design and vibrant display.
300,"Sony lytia 700 Camera is superb 🔥 
Processor is also good 🎮 
UI have lot of customisation 📱 ✨ 
Battery 🔋 backup very good 💯 
4k playback and recording is brilliant ⚡
Best phone in segment
 
Probl...",Pos,"Superb camera, good processor, customizable UI, very good battery, and brilliant 4k playback."
300,Super fully satisfied,Pos,Super fully satisfied.
330,This phone is just awesome.,Pos,This phone is just awesome.
330,Superb performance camera 🤳 and battery,Pos,"Superb performance, camera, and battery."
330,"The display and the camera of this phone in this price range is mind-boggling,once you bought this you will never regret as per my opinion..",Pos,The display and camera are mind-boggling and worth the purchase.
270,"Great product by Motorola with all-round specifications...
Really loved it 👍
Display - 10/10
Performance - 9/10
Battery - 9/10
Camera - 9.5/10
Sound - 10/10
Ui experience - 10/10
Great purchase till ...",Pos,"Great product with all-round specifications, loved the display, performance, battery, camera, sound, and UI."
330,"The look and feel is just awesome, you will love the display, the camera is also very good considering the price range.
Best phone to consider right now, if your priority is Display, Camera and Durability.",Pos,"Awesome look and feel, great display and camera, best phone for display, camera, and durability."
300,"Pros:-
Camera is good but not that much great it's ok-ish details feels like little bit clumsy.
Good Display
Sound quality is good than poco or any other mobiles in this price range.
Battery it's fine...",Neu,"Camera is good but not great, display and sound are good, battery is fine."
300,Overall good phone,Pos,Overall good phone.
330,Good,Pos,Good.
300,"Value of money mobile, good camera, very good battery",Pos,Value for money mobile with good camera and very good battery.
330,"Price worth..C2C charger cable
Light wait..good display. Dolby..",Pos,"Price worth, C2C charger, light weight, good display, Dolby."
300,Worth every penny camera battery the curved display everything is just mind blowing go for this mobile without any second thought and i am sure you wont regret it,Pos,"Worth every penny, amazing camera, battery, and curved display."
270,Very good,Pos,Very good.
270,Very good mobile,Pos,Very good mobile.
300,Looks Beautiful,Pos,Looks beautiful.
330,"Phone is getting hot after continuous using.
Performance could be better.
But overall good phone at this price",Neg,"Phone gets hot with continuous use, performance could be better, but overall good."
300,"Display 5/5
Camera 5/5
Performance 5/4
Battery 🔋 5/5
Sound quality good 5/5
Overall performance was excellent 👍💯💯💯
I'll give you the review ofter 10 days I'm using mobile",Pos,"Excellent overall performance, good display, camera, battery, and sound quality."
330,"This phone is very very camera sentry phone,,
Battery performance and good looking phone ,,
Edge 60 fusion",Pos,Very camera centric phone with good battery performance and good looking.
300,Camera is awesome and realistic,Pos,Camera is awesome and realistic.
300,"Camara Quality is awesome, battery back-up awesome 👍",Pos,Awesome camera quality and battery backup.
240,"Camera-5/5
Battery -5/5
Display-5/5
Design -5/5
Performance -4/5

Some time phone lag or may be application issue I hope it will improve by next update.",Pos,"Good overall, but some lag issues that hopefully will be fixed."
330,Everything is good but atleast back cover should be provided,Neg,Everything is good but a back cover should be provided.
150,"Selfie camera is average ,rest is fine",Neg,"Selfie camera is average, rest is fine."
330,Great Phone by Moto.,Pos,Great phone by Moto.
330,Great display ✨,Pos,Great display.
330,"This phone is quite good at this price...also camera and display, design is too good!",Pos,"Good phone at this price, camera and display design are good."
330,One of the best camera phone in that price range,Pos,One of the best camera phones in that price range.
300,"After using more than a month i am writing this review.

A stylish phone no doubt but lags in many things.

1. As it is a curve display when you are in full screen mode and watching a video and you wa...",Neg,"Stylish phone but lags, curve display issues."
